"PK","Name","AlternateName","Русское название", "Country","Sea","Region","Lon","Lat","Notes","OrderOfLargestUse","LargestUse","DecadeOfMostRecentReportedUse","HerdCompositions","Use_in_Jan_Feb_Mar","Use_in_Apr_May_Jun","Use_in_Jul_Aug_Sep","Use_in_Oct_Nov_Dec","LinearFeature"
1,"Amak Island",,,"US","Bering","Alaska Peninsula","-163.14371","55.41853","
Haulout description:  
Amak Island is an uninhabited island north of the western tip of the Alaska Peninsula, 18 km offshore from Izembek Lagoon. Walrus haulout sites have been reported along the east, southeast and southwest coasts of the island (USFWS, unpublished).

History of use:
Amak Island is a historically important haulout area for Pacific walruses with sighting records dating back to the 1800U+0027s (Tanner 1892, Fay 1957).  Little to no walrus haulout activity was reported at Amak Island in the first half of the 20th Century (Fay 1957). Intermittent sightings of walruses hauled out on Amak Island were reported in the 1960U+0027s and regular use by groups of walruses ranging in size from tens to hundreds of animals was reported in the late 1970U+0027s (Frost and others 1982).  In a letter to Ken Taylor of the Alaska Department of Fish and Game dated 10 January 1985, the Izembek National Wildlife Refuge reported numerous sightings of up to 500 live walruses based on aerial, dory and ground surveys of Amak Island during 1979, with a peak count on 28 June 1979 and continued sightings through 6 September 1979.  The letter also reports that a 7 May 1980 aerial survey found no walruses present.  On 3 June 2015 two local fishermen reported sighing some 300 walruses hauled out on the beach in a cove of the southeast side of the island and reported the sighting to A. Miller, Supervisory Park Ranger, Togiak National Wildlife Refuge two days later.  The two fishermen indicated that they had traveled past the island close enough to make sightings four times a year during the previous 9 years and had never previously observed walruses.  Contact the Alaska Maritime National Wildlife Refuge, or the offices of the Izembek National Wildlife Refuge for further information.",2,"At least 100 and fewer than 1,000 walruses",1980,"Predominately males",0,1,1,0,1
6,"Barrier Islands North of Point Lay","Kasegaluk Lagoon; Utuqqaq Pass Area",,"US","Chukchi","Eastern Chukchi Sea","-162.28050","70.21090","Haulout description:
A chain of barrier islands extending northeast of the community of Point Lay to Icy Cape. Specific walrus haulout sites along the islands are variable within and between years. The mapped point location is based on a sighting record of a herd of more than 1,500 walruses photographed in August 2007 (Ireland and others 2009).

History of use:
Irregular sighting of small groups of walruses on the barrier islands between the communities of Point Lay and Icy Cape were reported during the 1950U+0027s -1980U+0027s by pilots and community residents (Frost and others 1983, Huntington and others 2013). Large groups have been reported near Utuqqaq Pass in recent years (Huntington and others 2013a). The mapped point location is based on a sighting record of a herd of more than 1,500 walruses photographed in August 2007 (Ireland and others 2009). Occupancy generally coincides with periods of low-ice concentrations in offshore feeding areas of the eastern Chukchi Sea.  Contact the Native Village of Point Lay for further information.",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Predominately females and dependent calves",0,0,1,1,1
7,"Barrier Islands South of Point Lay","Kasegaluk Lagoon; Kukpowruk Pass; Naokok Pass, Kopkakisak Island",,"US","Chukchi","Eastern Chukchi Sea","-163.15000","69.61000","Haulout description:
A chain of barrier islands extending south of the community of Point Lay to the end of Kasegaluk Lagoon. Specific walrus haulout sites along these barrier islands are variable within and between years. The mapped position is based on satellite tracking records of a walrus making landfall in September 2010 (USGS unpublished).

History of use:
Point Lay residents report sporadic observations of small groups of walruses in August and September south of the village at various locations along the barrier islands that form Kasegaluk Lagoon (Frost et a. 1983; Huntington and others 2013). Satellite telemetry data also indicates use of this area in September 2010 (http://alaska.usgs.gov/science/biology/walrus/tracking.html accessed 30 November 2013). Occupancy generally coincides with periods of low-ice concentrations in offshore feeding areas of the eastern Chukchi Sea.  Contact the Native Village of Point Lay for further information.",0,"Fewer than 10 walruses",2010,"Mixed age and sex classes",0,0,1,0,1
8,"Bear River",,,"US","Bering","Alaska Peninsula","-160.43968","56.15995","Haulout description: 
Near the mouth of Bear River on the Alaska Peninsula, 35 km west of Cape Seniavin.

History of use: 
Recorded use at this location is limited to a single observation of approximately 100 walruses hauled out on the beach north of the river mouth in April 1979 (Frost and others 1982; USFWS, unpublished).  Contact the Aleut Corporation for further information on the land ownership and access.",1,"At least 10 and fewer than 100 walruses",1970,"not reported",0,1,0,0,0
9,"Belyak Spit","Belyak Spit (Haulouts27)/Kosa Belyaka (internet)","Коса Беляка","RU","Chukchi","Western Chukchi Coast","-174.48901","67.07526","Haulout description: 
North coast of spit at the mouth of Kolyuchinskaya Bay approximately 100 km east of Cape Vankarem on the northern Chukotkan coast.


History of use:  
NutepelU+0027men hunters, written communication to A.A. Kochnev (ChukotTINRO) indicated 500-800 walruses in September of 2007.  Archives of ChukotTINRO (observer - A. Dondua) indicate no use in September of 2009.",2,"At least 100 and fewer than 1,000 walruses",2000,"not reported",0,0,1,0,1
10,"Besboro Island",,,"US","Bering","Norton Sound","-161.30773","64.12436","Haulout description: 
A small island in eastern Norton Sound, 18 km offshore from the coast between Unalakleet and Shaktoolik.  The island is part of the Alaska Maritime National Wildlife Refuge.

History of use: 
Intermittent summer use of Besboro Island by groups of male walruses was reported  in the 1960U+0027s, 1970's and 1980's (Frost and others 1982). The largest recorded sighting was 200 adult and sub-adult male walruses in August, 1971 (Frost and others 1982). There have been no walrus sightings at Besboro Island in recent years (Kawerak, 2013). Area residents report that lone animals or small groups of walruses are occasional seen swimming in Norton Sound during the summer months (June-July), but are rarely sighted on shore (Kermit Ivanoff, Sr. of the Eskimo Walrus Commission oral communication to the US Fish and Wildlife Service 2013).  Contact the Alaska Maritime National Wildlife Refuge or the Native Village of Unalakleet IRA Council for further information.",1,"At least 10 and fewer than 100 walruses",2010,"Predominately males",0,1,1,0,0
11,"Big Twin Island","The Twins",,"US","Bering","Bristol Bay","-160.30712","58.59719","Haulout description:
Big Twin Island is situated 10 nautical miles west of Round Island, and due south of Crooked Island.  It is part of the Walrus Islands State Game Sanctuary in northern Bristol Bay, established in 1960 by the Alaska Legislature (Alaska Statute 16.20.090). Walrus have been reported resting on the north coast of the Island (ADFG unpublished).

History of use:
The Walrus Islands are a historically important haulout area for Pacific walruses with sighting records dating back to the 1800's (Korsakovskiy 1818 in VanStone 1988, Fay 1957, Frost and others 1982).  Irregular sightings of walruses hauled out on Big Twin Island were reported in the 1950's, 1960's, and 1970's (Frost and others 1982).  On 19 August 1988 field notes from the ADF&G Round Island field crew state that NOAA crew reported seeing 30 or so walrus hauled out on the Twins a couple weeks ago.  On 17 July 1990 Gay Sheffield (ADF&G Round Island field crew member) indicated having visited Big Twin Island with boat captain Don Winkleman where 60 walruses were observed hauled out.  Boat captain Don Winkleman reported to Round Island staff seeing 60 walruses on Twins 8 August 1990.  Mr. P. Abraham of the Togiak National Wildlife Refuge reported 200-300 walruses hauled out on Big Twin Island 10 June 2012 (reported to Mr. Ed Weiss of the Alaska Department of Fish and Game).  There have been no recent monitoring effort or sighting reports. For more information regarding haulout use at this site, contact the Alaska Department of Fish and Game office in Dillingham, Alaska.",2,"At least 100 and fewer than 1,000 walruses",2010,"Predominately males",0,1,1,0,0
12,"Bogoslov Island","Bogoslava Island, Bogoslova Island, Joanna Bogoslava Islet, Ostrov Ioanna Bogoslova, Ostrov Loanna Bogoslova, Yoanna Bogoslova Island, John the Baptist Island","Остров Богослова","RU","Bering","Koryak Coast","172.48106","61.10725","Haulout Description: 
Small island (2.4 km in length) in the outer mouth of Natalia Bay (Bukta Natalia), near Bukhta Pavia, 4.5 km north of Cape Zosima.

History of use:  
In summer of 1935 prior to August, 500 walruses were reported in the Natalia Bay (Nikulin, 1941). During the summer of 1939 an walruses were also reported here (Nikulin, 1941).  Regular use was reported from 1970 through the early 2000's (Kosygin and Sobolevsky 1971, Kosygin 1975, Estes and Gol'tsev 1984, Semenov and others 1988, Burkanov 1988, Burkanov and others 1988, Kalinichenko 1990, Kalinichenko 1991, Kalinichenko and Chugunkov 1991, Chugunkov and Kalinichenko 1996, Grachev 2000, Ovsyanikov 2012, Testin 2004).   Semenov and others (1988) indicated that the use was continuous throughout the summer ranging from 400 to a peak of 3,000 in June.  V. N. Gol'tsev, personal communication to F.H. Fay noted in Fay (1982) indicates use in July and September.  Use was noted during the 1990 aerial survey during August and September by up to 1,250 animals (Gilbert and others 1992).",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Predominately males",0,1,1,1,0
13,"Bol'shoy Routan Island",,"Oстров Большой Роутан","RU","East Siberian","East Siberian coast","170.25908","69.77686","Haulout Description: 
Island in northeastern Chaunskaya Bay, 4 km to the NW of Pevek.

Historical Use: 
Yanranay local hunters indicate use by 20 to 30 walruses during the 1970's (oral communication to A.A. Kochnev of ChukotTINRO).",1,"At least 10 and fewer than 100 walruses",1970,"not reported",0,0,0,0,0
14,"Burunnye Islands","Burunneyeh Islands; Burunnykh Islands","острова Бурунные","RU","Bering","Koryak Coast","170.88363","60.47318","Haulout Description: 
Small and low basalt island laying within 17 km south-west of Cape Temny, and 68 km north-east of Cape Olyutorsky.

Historical Use: 
Use by walruses reported in 1984 (Semenov and others 1988) and 1990 (Kalinichenko 1991).  The 1990 survey reported use by 485 walruses on 8 August (Gilbert and others 1992).  Semenov and others (1988) indicate that this haulout begins to form at the end of June and into July.",2,"At least 100 and fewer than 1,000 walruses",1990,"Not reported",0,1,1,0,0
