Name,Country,Sea,Lon,Lat,LargestUseWithinDecade,Amended class,Decade
Northstar Island,US,Beaufort,-148.6935,70.4916,At least 1 and fewer than 10,4,2000
Endicott Island,US,Beaufort,-147.9605,70.35767,At least 1 and fewer than 10,4,2000
Cape Geka,RU,Bering,178.24585,64.40727,"At least 100 and fewer than 1,000",4,2000
Cape Golenishchev,RU,Bering,164.58697,59.23563,unknown number,1,2000
Cape Galinvilan,RU,Bering,166.20059,60.11159,unknown number,1,2000
Dezhnev Bay,RU,Bering,173.48497,61.63894,"At least 100 and fewer than 1,000",4,2000
Little Diomede Island,US,Bering,-168.92643,65.75585,"At least 100 and fewer than 1,000",4,2000
Verkhoturova Island,RU,Bering,164.64868,59.62744,unknown number,1,2000
Bogoslov Island,RU,Bering,172.48106,61.10725,"At least 1,000 and fewer than 10,000",5,2000
Cape Kygynin on the Arakamchechen Island,RU,Bering,-172.06893,64.75803,"At least 100 and fewer than 1,000",4,2000
Cape Pe'ek,RU,Bering,-169.81261,66.00676,"At least 1,000 and fewer than 10,000",5,2000
Cape Peirce,US,Bering,-161.756,58.57,"At least 1,000 and fewer than 10,000",5,2000
Cape Retkyn,RU,Bering,-177.17222,65.53,"At least 1,000 and fewer than 10,000",5,2000
Anastasii Bay,RU,Bering,173.0533,61.38898,"At least 1,000 and fewer than 10,000",5,2000
Erulya Spit,RU,Bering,-178.92,66.03,"At least 1,000 and fewer than 10,000",5,2000
Kaymatkyn Bay,RU,Bering,-175.921,65.3168,"At least 1,000 and fewer than 10,000",5,2000
Kitovaya Spit,RU,Bering,-176.97726,65.60321,"At least 1,000 and fewer than 10,000",5,2000
Me'eskyn Spit Island,RU,Bering,-178.72283,65.4716,unknown number,1,2000
Pica Creek Mouth,RU,Bering,178.11757,62.5208,"At least 1,000 and fewer than 10,000",5,2000
Ratmanov Island,RU,Bering,-169.09903,65.75147,unknown number,1,2000
Retkyn Spit,RU,Bering,-176.02206,65.38976,"At least 10,000 and fewer than 100,000",6,2000
Round Island,US,Bering,-159.97431,58.60412,"At least 10,000 and fewer than 100,000",6,2000
Russkaya Koshka Spit,RU,Bering,178.59202,64.57132,"At least 1,000 and fewer than 10,000",5,2000
Punuk Islands,US,Bering,-168.80936,63.08049,"At least 1,000 and fewer than 10,000",5,2000
Cape Nunyamo,RU,Bering,-170.53943,65.62704,"At least 10,000 and fewer than 100,000",6,2000
Cape Newenham,US,Bering,-162.124,58.656,unknown number,1,2000
Cape Seniavin,US,Bering,-160.14715,56.3991,"At least 1,000 and fewer than 10,000",5,2000
Hagemeister Island,US,Bering,-161.075,58.58,"At least 1,000 and fewer than 10,000",5,2000
Belyak Spit,RU,Chukchi,-174.48901,67.07526,"At least 100 and fewer than 1,000",4,2000
Cape Lewis,US,Chukchi,-166.19806,68.71472,unknown number,1,2000
Peard Bay,US,Chukchi,-157.702,70.893,"At least 100 and fewer than 1,000",4,2000
Somnitel'naya Spit,RU,Chukchi,-179.56153,70.86243,"At least 10,000 and fewer than 100,000",6,2000
Cape Inchoun,RU,Chukchi,-170.16536,66.24753,"At least 10,000 and fewer than 100,000",6,2000
Cape Inkigur,RU,Chukchi,-171.3795,66.73535,"At least 1,000 and fewer than 10,000",5,2000
Cape Sabine,US,Chukchi,-164.6185,68.915,"At least 100 and fewer than 1,000",4,2000
Cape Schmidt,RU,Chukchi,-179.48194,68.93064,"At least 10,000 and fewer than 100,000",6,2000
Cape Serdtse-Kamen',RU,Chukchi,-171.56909,66.80834,"100,000 or greater ",7,2000
Cape Unikyn,RU,Chukchi,-170.68176,66.42106,"At least 1,000 and fewer than 10,000",5,2000
Icy Cape,US,Chukchi,-161.881,70.327,"At least 1,000 and fewer than 10,000",5,2000
Kolyuchin Island,RU,Chukchi,-174.60469,67.45647,"At least 10,000 and fewer than 100,000",6,2000
Point Lay Barrier Island,US,Chukchi,-163.032,69.795,"At least 1,000 and fewer than 10,000",5,2000
Cape Kel'enevyt,RU,Chukchi,-175.26624,67.58814,"At least 1,000 and fewer than 10,000",5,2000
Cape Lisburne,US,Chukchi,-166.21437,68.88261,"At least 1,000 and fewer than 10,000",5,2000
Cape Thompson,US,Chukchi,-165.97778,68.14389,"At least 100 and fewer than 1,000",4,2000
Cape Vankarem,RU,Chukchi,-175.81378,67.84808,"At least 10,000 and fewer than 100,000",6,2000
Corwin Bluff,US,Chukchi,-165.102,68.875,"At least 1,000 and fewer than 10,000",5,2000
Point Barrow,US,Chukchi,-156.47319,71.3898,At least 1 and fewer than 10,4,2000
Point Hope,US,Chukchi,-166.782,68.355,At least 1 and fewer than 10,4,2000
Cape Espenberg,US,Chukchi,-163.61694,66.55889,"At least 1,000 and fewer than 10,000",5,2000
Cape Krusenstern,US,Chukchi,-163.74528,67.12806,"At least 100 and fewer than 1,000",4,2000
Cape Waring,RU,Chukchi,-177.51357,71.26525,"At least 1,000 and fewer than 10,000",5,2000
Chegitun River mouth,RU,Chukchi,-171.05197,66.55678,"At least 10,000 and fewer than 100,000",6,2000
Barrier Islands North of Point Lay,US,Chukchi,-162.2805,70.2109,"At least 1,000 and fewer than 10,000",5,2000
