Name,Country,Sea,Lon,Lat,LargestUseWithinDecade,Class,Decade
Cape Corvin,RU,Chukchi,-177.71414,71.06538,At least 10 and fewer than 100,3,1990
Davydov Spit,RU,Chukchi,-179.42357,70.87306,"At least 1,000 and fewer than 10,000",5,1990
Rogers Spit,RU,Chukchi,-178.49321,70.96961,"At least 1,000 and fewer than 10,000",5,1990
Belyak Spit,RU,Chukchi,-174.48901,67.07526,"At least 100 and fewer than 1,000",4,2000
Cape Lewis,US,Chukchi,-166.19806,68.71472,unknown number,1,2000
Cape Lewis,US,Chukchi,-166.19806,68.71472,unknown number,1,2010
Peard Bay,US,Chukchi,-157.702,70.893,"At least 100 and fewer than 1,000",4,2000
Somnitel'naya Spit,RU,Chukchi,-179.56153,70.86243,"At least 10,000 and fewer than 100,000",6,1990
Somnitel'naya Spit,RU,Chukchi,-179.56153,70.86243,"At least 10,000 and fewer than 100,000",6,2000
Somnitel'naya Spit,RU,Chukchi,-179.56153,70.86243,"At least 10,000 and fewer than 100,000",6,2010
Cape Inchoun,RU,Chukchi,-170.16536,66.24753,"At least 10,000 and fewer than 100,000",6,1990
Cape Inchoun,RU,Chukchi,-170.16536,66.24753,"At least 10,000 and fewer than 100,000",6,2000
Cape Inchoun,RU,Chukchi,-170.16536,66.24753,"At least 10,000 and fewer than 100,000",6,2010
Cape Inkigur,RU,Chukchi,-171.3795,66.73535,"At least 1,000 and fewer than 10,000",5,1990
Cape Inkigur,RU,Chukchi,-171.3795,66.73535,"At least 1,000 and fewer than 10,000",5,2000
Cape Inkigur,RU,Chukchi,-171.3795,66.73535,"At least 1,000 and fewer than 10,000",5,2010
Cape Kekurny,RU,Chukchi,-169.697,66.13609,"At least 1,000 and fewer than 10,000",5,2010
Cape Sabine,US,Chukchi,-164.6185,68.915,"At least 100 and fewer than 1,000",4,2000
Cape Sabine,US,Chukchi,-164.6185,68.915,"At least 100 and fewer than 1,000",4,2010
Cape Schmidt,RU,Chukchi,-179.48194,68.93064,"At least 10,000 and fewer than 100,000",6,2000
Cape Schmidt,RU,Chukchi,-179.48194,68.93064,"At least 10,000 and fewer than 100,001",6,2010
Cape Serdtse-Kamen',RU,Chukchi,-171.56909,66.80834,"At least 10,000 and fewer than 100,002",6,1990
Cape Serdtse-Kamen',RU,Chukchi,-171.56909,66.80834,"100,000 or greater ",7,2000
Cape Serdtse-Kamen',RU,Chukchi,-171.56909,66.80834,"100,000 or greater ",7,2010
Cape Unikyn,RU,Chukchi,-170.68176,66.42106,"At least 1,000 and fewer than 10,000",5,1990
Cape Unikyn,RU,Chukchi,-170.68176,66.42106,"At least 1,000 and fewer than 10,000",5,2000
Cape Unikyn,RU,Chukchi,-170.68176,66.42106,"At least 10,000 and fewer than 100,000",6,2010
Herald Island,RU,Chukchi,-175.77644,71.4126,unknown number,1,1990
Herald Island,RU,Chukchi,-175.77644,71.4126,"At least 1,000 and fewer than 10,000",5,2010
Icy Cape,US,Chukchi,-161.881,70.327,"At least 1,000 and fewer than 10,000",5,2000
Icy Cape,US,Chukchi,-161.881,70.327,"At least 1,000 and fewer than 10,000",5,2010
Kolyuchin Island,RU,Chukchi,-174.60469,67.45647,"At least 1,000 and fewer than 10,000",5,1990
Kolyuchin Island,RU,Chukchi,-174.60469,67.45647,"At least 10,000 and fewer than 100,000",6,2000
Kolyuchin Island,RU,Chukchi,-174.60469,67.45647,"At least 10,000 and fewer than 100,000",6,2010
Point Lay Barrier Island,US,Chukchi,-163.032,69.795,"At least 1,000 and fewer than 10,000",5,2000
Point Lay Barrier Island,US,Chukchi,-163.032,69.795,"At least 10,000 and fewer than 100,000",6,2010
Barrier Islands South of Point Lay,US,Chukchi,-163.15,69.61,At least 1 and fewer than 10,2,2010
Cape Kel'enevyt,RU,Chukchi,-175.26624,67.58814,"At least 1,000 and fewer than 10,000",5,1990
Cape Kel'enevyt,RU,Chukchi,-175.26624,67.58814,"At least 1,000 and fewer than 10,000",5,2000
